Date,Year,Month,Day,Species,Block,Street,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,8,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,8,1,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,8,1,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,8,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,5,2,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,5,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,8,5,0
2007-05-29,2007,5,29,CULEX RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,9,3,0
2007-05-29,2007,5,29,CULEX RESTUANS,11, S PEORIA ST,T091,41.862292,-87.64886,8,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,8,1,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,8,1,0
2007-05-29,2007,5,29,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,8,1,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,8,2,0
2007-05-29,2007,5,29,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,8,3,0
2007-05-29,2007,5,29,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,9,1,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,8,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,8,2,0
2007-05-29,2007,5,29,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,8,4,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,8,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,8,2,0
2007-05-29,2007,5,29,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,8,1,0
2007-05-29,2007,5,29,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,8,1,0
2007-05-29,2007,5,29,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,8,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,8,3,0
2007-06-05,2007,6,5,CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,9,1,0
2007-06-05,2007,6,5,CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,8,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,9,2,0
2007-06-05,2007,6,5,CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,8,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,9,3,0
2007-06-05,2007,6,5,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,8,2,0
2007-06-05,2007,6,5,CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,41.869216,-87.627561,8,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,9,7,0
2007-06-05,2007,6,5,CULEX RESTUANS,10, S VINCENNES,T089,41.723195,-87.64997,5,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,3,3,0
2007-06-05,2007,6,5,CULEX RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,8,4,0
2007-06-05,2007,6,5,CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,9,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,8,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,8,1,0
2007-06-05,2007,6,5,CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,41.994469,-87.667736,8,1,0
2007-06-05,2007,6,5,CULEX RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,9,2,0
2007-06-05,2007,6,5,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,8,1,0
