Station,Date,Tavg,DewPoint,Heat,Cool,PrecipTotal,SeaLevel,ResultSpeed,ResultDir,Sunrise,Sunset,RHumidity
1,2007-05-01,66.0,51,0,2,0.0,29.82,1.7,27,04:48,18:49,58.42632469788989
2,2007-05-01,68.0,51,0,3,0.0,29.82,2.7,25,04:48,18:49,54.52642597791101
1,2007-05-02,50.0,42,14,0,0.0,30.09,13.0,4,04:47,18:50,73.88570607419035
2,2007-05-02,52.0,42,13,0,0.0,30.08,13.3,2,04:47,18:50,68.61496211698909
1,2007-05-03,56.0,40,9,0,0.0,30.12,11.7,7,04:46,18:51,54.87491930550421
2,2007-05-03,58.0,40,7,0,0.0,30.12,12.9,6,04:46,18:51,51.057657198173125
1,2007-05-04,58.0,41,7,0,0.0,30.05,10.4,8,04:44,18:52,53.075888896656885
2,2007-05-04,64.0,42,0,0,0.0,30.04,10.1,7,04:44,18:52,44.59848894543656
1,2007-05-05,60.0,38,5,0,0.0,30.1,11.7,7,04:43,18:53,43.96594190631954
2,2007-05-05,60.0,39,5,0,0.0,30.09,11.2,7,04:43,18:53,45.71985091173706
1,2007-05-06,58.0,30,6,0,0.0,30.29,14.4,11,04:42,18:55,34.31184626017269
2,2007-05-06,60.0,30,5,0,0.0,30.28,13.8,10,04:42,18:55,31.944799153604453
1,2007-05-07,65.0,41,0,0,0.0,30.12,8.6,18,04:41,18:56,41.43795063649971
2,2007-05-07,67.0,39,0,2,0.0,30.12,8.5,17,04:41,18:56,35.77015190034715
1,2007-05-08,68.0,58,0,3,0.0,30.03,2.7,11,04:39,18:57,70.37250898029913
2,2007-05-08,70.0,57,0,5,0.0,30.02,2.5,8,04:39,18:57,63.391531070601204
1,2007-05-09,69.0,59,0,4,0.13,29.94,3.9,9,04:38,18:58,70.47782542093019
2,2007-05-09,70.0,60,0,5,0.02,29.93,3.9,7,04:38,18:58,70.58262702474482
1,2007-05-10,70.0,52,0,5,0.0,29.92,0.7,17,04:37,18:59,52.83156593782089
2,2007-05-10,71.0,52,0,6,0.0,29.91,2.0,9,04:37,18:59,51.06373373082498
1,2007-05-11,60.0,42,4,0,0.0,30.04,11.3,3,04:36,18:00,51.3587556628337
2,2007-05-11,61.0,44,4,0,0.0,30.03,11.7,36,04:36,18:00,53.51689345100418
1,2007-05-12,55.0,36,10,0,0.0,30.2,12.4,3,04:35,19:01,48.643418906488094
2,2007-05-12,56.0,37,9,0,0.0,30.19,12.7,1,04:35,19:01,48.79868354185697
1,2007-05-13,56.0,33,9,0,0.0,30.24,6.6,14,04:34,19:02,41.62640078927803
2,2007-05-13,56.0,32,8,0,0.0,30.24,6.4,11,04:34,19:02,39.98635180362054
1,2007-05-14,73.0,47,0,8,0.0,29.97,16.9,21,04:33,19:03,39.61405665086182
2,2007-05-14,72.0,45,0,7,0.0,29.98,14.1,21,04:33,19:03,37.98825301496348
1,2007-05-15,68.0,56,0,4,0.38,29.84,8.1,27,04:32,19:04,65.47718858023127
2,2007-05-15,69.0,56,0,4,0.6,29.83,8.1,25,04:32,19:04,63.26799955196621
1,2007-05-16,55.0,43,10,0,0.14,30.03,7.8,36,04:31,19:05,63.88756454843504
